cluster_id,source_continent,cluster_root_date,cluster_root_absolute_time,cluster_size,first_tip_date,last_tip_date,tip_names,tip_dates
cluster_071,Asia,2013-02-26,2013.154936,3,2013-04-14,2013-05-14,PP_003BDNK.1/2013-04-15/North_America/450/D8;PP_003BDW3.1/2013-05-15/North_America/450/D8;PP_003BDYZ.1/2013-05-15/North_America/450/D8,2013-04-15;2013-05-15;2013-05-15
cluster_072,Oceania,2013-02-26,2013.155302,5,2013-04-14,2015-01-14,PP_003BEB7.1/2013-04-15/North_America/450/D8;PP_003CE8B.1/2014-02-15/North_America/450/D8;PP_003DG5D.1/2014-12-15/North_America/450/D8;PP_003DG79.1/2014-12-15/North_America/450/D8;PP_003DLCV.1/2015-01-15/North_America/450/D8,2013-04-15;2014-02-15;2014-12-15;2014-12-15;2015-01-15
cluster_073,Europe,2013-03-15,2013.2,1,2013-03-15,2013-03-15,PP_003BE2R.1/2013-03-15/North_America/450/B3,2013-03-15
cluster_074,Europe,2013-03-15,2013.200448,2,2013-04-14,2013-04-14,PP_003BEFZ.1/2013-04-15/North_America/450/D8;PP_003BEJS.1/2013-04-15/North_America/450/D8,2013-04-15;2013-04-15
cluster_075,Asia,2013-03-28,2013.237789,3,2013-04-14,2013-05-14,PP_003BDLP.1/2013-04-15/North_America/450/D8;PP_003BG2P.1/2013-05-12/North_America/456/D8;PP_003BHC2.1/2013-05-15/North_America/450/D8,2013-04-15;2013-05-12;2013-05-15
cluster_076,Asia,2013-04-14,2013.284932,1,2013-04-14,2013-04-14,PP_003BEA9.1/2013-04-15/North_America/450/D8,2013-04-15
cluster_077,Asia,2013-04-14,2013.284932,1,2013-04-14,2013-04-14,PP_003BEE1.1/2013-04-15/North_America/450/B3,2013-04-15
cluster_078,Asia,2013-04-21,2013.303008,5,2013-08-15,2014-05-14,PP_003BL4F.1/2013-08-15/North_America/450/B3;PP_003CL69.1/2014-03-15/North_America/450/B3;PP_003CLCX.1/2014-03-15/North_America/450/B3;PP_003CVST.1/2014-05-15/North_America/450/B3;PP_003D3VB.1/2014-05-15/North_America/450/B3,2013-08-15;2014-03-15;2014-03-15;2014-05-15;2014-05-15
cluster_079,Asia,2013-05-14,2013.367123,1,2013-05-14,2013-05-14,PP_003BDZX.1/2013-05-15/North_America/450/D8,2013-05-15
cluster_080,Asia,2013-05-14,2013.367123,1,2013-05-14,2013-05-14,PP_003BEC5.1/2013-05-15/North_America/450/D3,2013-05-15
cluster_081,Europe,2013-06-10,2013.438499,20,2013-11-15,2015-02-15,PP_003BVEL.1/2013-11-15/North_America/450/B3;PP_003C7Y3.1/2014-02-15/North_America/450/B3;PP_003CBX1.1/2014-02-15/North_America/450/B3;PP_003F4KS.1/2014-03-15/North_America/450/B3;PP_003DBS9.1/2014-07-15/North_America/450/B3;PP_003DG87.1/2014-12-15/North_America/450/B3;PP_003DJ93.1/2015-01-15/North_America/450/B3;PP_003DJDV.1/2015-01-15/North_America/450/B3;PP_003DJFR.1/2015-01-15/North_America/450/B3;PP_003DJGP.1/2015-01-15/North_America/450/B3;PP_003DJHL.1/2015-01-15/North_America/450/B3;PP_003DLR2.1/2015-01-15/North_America/450/B3;PP_003DLYN.1/2015-01-15/North_America/450/B3;PP_003DXUK.1/2015-01-15/North_America/450/B3;PP_003DJJJ.1/2015-02-15/North_America/450/B3;PP_003DKUX.1/2015-02-15/North_America/450/B3;PP_003DKWT.1/2015-02-15/North_America/450/B3;PP_003DL0K.1/2015-02-15/North_America/450/B3;PP_003DLGM.1/2015-02-15/North_America/450/B3;PP_003DYYA.1/2015-02-15/North_America/450/B3,2013-11-15;2014-02-15;2014-02-15;2014-03-15;2014-07-15;2014-12-15;2015-01-15;2015-01-15;2015-01-15;2015-01-15;2015-01-15;2015-01-15;2015-01-15;2015-01-15;2015-02-15;2015-02-15;2015-02-15;2015-02-15;2015-02-15;2015-02-15
cluster_082,Europe,2013-06-15,2013.452392,2,2013-07-14,2013-07-14,PP_003BK2L.1/2013-07-15/North_America/450/D8;PP_003BKA4.1/2013-07-15/North_America/456/D8,2013-07-15;2013-07-15
cluster_083,Europe,2013-06-19,2013.463014,1,2013-06-19,2013-06-19,PP_003BHNF.1/2013-06-19/North_America/456/D8,2013-06-19
cluster_084,Asia,2013-07-04,2013.506849,1,2013-07-04,2013-07-04,PP_003BHV1.1/2013-07-05/North_America/456/B3,2013-07-05
cluster_085,Oceania,2013-07-07,2013.512473,3,2013-08-15,2013-08-15,PP_003BLB1.1/2013-08-15/North_America/450/D9;PP_003BLDX.1/2013-08-15/North_America/450/D9;PP_003BLGR.1/2013-08-15/North_America/450/D9,2013-08-15;2013-08-15;2013-08-15
